A12-1R	A12-2R	A12-3R	A12-4R	A12-5R	A12-6R	A12-7R	A6-1R	A6-2R	A6-3R	A6-4R	A6-5R	A6-6R	A6-7R	A9-1R	A9-2R	A9-3R	A9-4R	A9-5R	A9-6R	A9-7R	FS	S12-1	S12-2	S6-1	S6-2	S9-1	S9-2	T12-1R	T12-2R	T12-3R	T12-4R	T12-5R	T12-6R	T12-7R	T6-1R	T6-2R	T6-3R	T6-4R	T6-5R	T6-6R	T6-7R	T9-1R	T9-2R	T9-3R	T9-4R	T9-5R	T9-6R	T9-7R
9002efc8d0aae0e00570a0ef34a8f2f4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	6.0	0.0	5.0	4.0	16938.0	12066.0	11918.0	15693.0	14528.0	15522.0	11561.0	19052.0	15519.0	16437.0	18507.0	15538.0	15940.0	8235.0	15561.0	15130.0	17205.0	13312.0	14655.0	17724.0	15743.0
1624f6ce2f3a06b5b884c321e3d24587	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5432.0	3322.0	3415.0	4903.0	4581.0	4919.0	3120.0	6514.0	5189.0	5743.0	5274.0	4345.0	5036.0	2775.0	5040.0	5129.0	5765.0	3653.0	4467.0	5671.0	4879.0
93120265f9c84ff7e35370a1f4336272	909.0	1511.0	1498.0	1501.0	1813.0	1458.0	1934.0	2653.0	2667.0	2452.0	2048.0	2321.0	2960.0	3773.0	2965.0	2795.0	2987.0	2665.0	3546.0	1821.0	1962.0	26.0	48.0	36.0	50.0	60.0	45.0	42.0	477.0	303.0	482.0	1110.0	419.0	528.0	618.0	1783.0	1586.0	2222.0	1722.0	1575.0	1647.0	1407.0	1851.0	1644.0	2189.0	1826.0	1409.0	2063.0	2033.0
4130b0e1aef0d3a4c485f680995a0f62	475.0	1232.0	694.0	511.0	611.0	493.0	763.0	1468.0	2688.0	1343.0	1364.0	1924.0	1510.0	3398.0	3398.0	1479.0	2402.0	2273.0	3458.0	1959.0	2018.0	33.0	37.0	32.0	47.0	30.0	30.0	46.0	420.0	290.0	580.0	1352.0	404.0	636.0	658.0	1654.0	1625.0	2302.0	2032.0	1809.0	2154.0	1310.0	2559.0	2117.0	3379.0	2125.0	1720.0	2458.0	2388.0
ba36086e9292cf0adc3cc339fe964f1d	2336.0	3901.0	2629.0	2168.0	4082.0	5269.0	2959.0	1331.0	3319.0	1110.0	2256.0	1692.0	3947.0	3564.0	4048.0	1545.0	4866.0	3785.0	7021.0	3906.0	3146.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3de4340a00daa3c54a849c8f80219b35	490.0	807.0	1314.0	418.0	446.0	554.0	631.0	1741.0	1953.0	1644.0	1092.0	1809.0	1445.0	2701.0	1970.0	1739.0	1647.0	1244.0	2508.0	1442.0	1466.0	0.0	0.0	32.0	0.0	41.0	0.0	0.0	200.0	89.0	129.0	490.0	163.0	216.0	233.0	966.0	1019.0	1138.0	1057.0	1112.0	942.0	868.0	854.0	770.0	960.0	654.0	686.0	1127.0	895.0
6c8e8f15c8b62edfc17dd5fc30ecd8cd	243.0	440.0	281.0	118.0	155.0	105.0	161.0	1724.0	1967.0	1019.0	1374.0	880.0	1304.0	2037.0	1151.0	840.0	448.0	224.0	1348.0	827.0	331.0	134.0	130.0	116.0	113.0	143.0	135.0	105.0	107.0	68.0	77.0	411.0	134.0	128.0	97.0	1650.0	2137.0	1176.0	1942.0	1764.0	1832.0	896.0	642.0	472.0	434.0	257.0	570.0	665.0	632.0
b32f9ee39585aac26eff58a0647ef448	665.0	1196.0	629.0	639.0	1145.0	1203.0	816.0	700.0	1348.0	909.0	1119.0	790.0	1745.0	2294.0	1477.0	578.0	1291.0	1037.0	2851.0	1307.0	726.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d1316b26e5350da36e6456499ecdfe18	588.0	252.0	450.0	537.0	261.0	556.0	205.0	669.0	438.0	473.0	519.0	532.0	528.0	456.0	308.0	463.0	430.0	450.0	318.0	258.0	226.0	730.0	618.0	633.0	691.0	644.0	636.0	653.0	280.0	215.0	207.0	213.0	292.0	230.0	249.0	173.0	328.0	262.0	192.0	296.0	300.0	220.0	322.0	199.0	221.0	200.0	183.0	293.0	258.0
b4b5cc6beec11d1cf7007cacd559c6d0	622.0	87.0	536.0	338.0	409.0	356.0	86.0	543.0	112.0	632.0	441.0	655.0	494.0	116.0	107.0	428.0	750.0	605.0	187.0	55.0	124.0	759.0	842.0	812.0	738.0	845.0	845.0	1035.0	83.0	53.0	74.0	66.0	63.0	48.0	42.0	109.0	253.0	239.0	64.0	78.0	76.0	110.0	139.0	100.0	64.0	143.0	96.0	136.0	72.0
