sample-id	plant_species	treatment
A6-1R	arabidopsis	6
A6-2R	arabidopsis	6
A6-3R	arabidopsis	6
A6-4R	arabidopsis	6
A6-5R	arabidopsis	6
A6-6R	arabidopsis	6
A6-7R	arabidopsis	6
A9-1R	arabidopsis	9
A9-2R	arabidopsis	9
A9-3R	arabidopsis	9
A9-4R	arabidopsis	9
A9-5R	arabidopsis	9
A9-6R	arabidopsis	9
A9-7R	arabidopsis	9
A12-1R	arabidopsis	12
A12-2R	arabidopsis	12
A12-3R	arabidopsis	12
A12-4R	arabidopsis	12
A12-5R	arabidopsis	12
A12-6R	arabidopsis	12
A12-7R	arabidopsis	12
T6-1R	tomato	6
T6-2R	tomato	6
T6-3R	tomato	6
T6-4R	tomato	6
T6-5R	tomato	6
T6-6R	tomato	6
T6-7R	tomato	6
T9-1R	tomato	9
T9-2R	tomato	9
T9-3R	tomato	9
T9-4R	tomato	9
T9-5R	tomato	9
T9-6R	tomato	9
T9-7R	tomato	9
T12-1R	tomato	12
T12-2R	tomato	12
T12-3R	tomato	12
T12-4R	tomato	12
T12-5R	tomato	12
T12-6R	tomato	12
T12-7R	tomato	12
S6-1	soil	6
S6-2	soil	6
S9-1	soil	9
S9-2	soil	9
S12-1	soil	12
S12-2	soil	12
FS	soil	-
