""	"B-1A"	"B-1B"	"B-1C"	"B-1H"	"B-1I"	"B-1K"	"B-1L"	"B-1P"	"B-1Q"	"B-1R"	"B-2A"	"B-2B"	"B-2C"	"B-2H"	"B-2I"	"B-2K"	"B-2L"	"B-2P"	"B-2Q"	"B-2R"	"B-3A"	"B-3B"	"B-3C"	"B-3H"	"B-3I"	"B-3K"	"B-3L"	"B-3P"	"B-3Q"	"B-3R"	"B-4A"	"B-4B"	"B-4C"	"B-4H"	"B-4I"	"B-4K"	"B-4L"	"B-4P"	"B-4Q"	"B-4R"	"B-5A"	"B-5B"	"B-5C"	"B-5H"	"B-5I"	"B-5K"	"B-5L"	"B-5P"	"B-5Q"	"B-5R"	"B-6A"	"B-6B"	"B-6C"	"B-6H"	"B-6I"	"B-6K"	"B-6L"	"B-6P"	"B-6Q"	"B-6R"	"B-blank1"	"B-blank2"
"ASV_1"	277580	329913	5614	136204	21321	57075	12844	238747	128150	56157	333552	138235	7820	203068	19926	106607	6253	249793	74256	5911	285499	150982	25546	169026	21912	275863	5154	294978	74965	4514	218449	85525	11423	181770	17017	123436	3262	356991	116358	12441	256108	143426	33393	103828	11887	78031	3288	617517	24779	3458	185590	63385	7833	84532	33480	89439	3606	601358	245048	6223	19390	13678
"ASV_2"	52360	81520	44064	52356	1735	3110	1670	23162	7321	1930	31445	123602	2085	17481	56037	21478	4564	33430	6222	7322	33642	79058	37484	40765	6548	12860	3180	20587	57533	777	50669	9709	2489	22313	31229	34294	1010	20721	12042	6577	8016	37971	4958	298058	3042	4797	1023	48947	3171	18064	105530	35226	10359	20239	14257	85207	980	10940	37753	102234	281	441
"ASV_3"	616	16961	35892	393	13044	12207	16867	188	26057	58684	393	2393	100290	5346	20732	10979	39724	502	11370	50539	2609	24660	130386	7021	19489	44598	29682	222	9701	22433	1329	74644	72093	10199	27654	909	4266	285	6388	72738	3154	36806	17560	4184	25619	12428	3587	677	26426	47113	2345	110664	4693	29931	12726	18937	11277	441	20611	16584	9102	31472
"ASV_4"	8853	46392	20413	3314	57467	5234	3891	1430	3634	29772	11231	13169	10957	23863	31119	9404	30954	1437	6119	16456	5820	15571	51913	7506	28952	10782	17899	1654	6862	16383	16936	21851	26984	12379	27434	18562	6129	3547	3782	15031	11754	13358	56326	18729	20274	5176	1923	2004	4553	8769	7414	30064	26548	8208	18807	18510	8080	525	3030	15581	8636	3268
"ASV_5"	13239	48275	4401	1682	1465	13703	1427	1587	66064	1114	28279	15564	1263	8937	5514	5278	9866	1729	6132	667	5627	51286	5812	17126	4306	116059	4785	577	21210	5634	14533	26308	1177	44345	2174	3857	1771	2448	16337	27812	21390	6536	2293	10191	1156	22600	1111	1441	7348	870	7349	23389	2593	36812	24776	16685	782	768	60694	607	5267	7527
"ASV_6"	10020	21183	1560	2801	3346	9898	876	3334	67954	1486	7205	2642	6197	22312	2112	3809	2827	5211	10239	573	2810	28273	995	17011	3809	16711	1175	4585	38278	37525	20751	15114	7943	20183	1294	4165	1239	4124	14936	9650	7108	2269	6853	3882	5736	20494	862	1764	7966	1416	7059	12318	5497	16523	5311	23043	1354	998	27544	519	8327	9888
"ASV_7"	4278	3241	12273	5390	17257	25179	13625	460	5688	9644	1613	5243	18302	3780	17645	22489	46368	711	20602	6027	1592	7518	9575	2865	13817	12753	20978	647	3633	9624	3241	7445	8140	4714	15819	22904	13988	2462	6130	7121	2955	6432	6803	6850	11121	13808	18832	884	10032	9192	3447	9018	13047	5530	16610	13763	12294	440	3767	9595	7430	11166
"ASV_8"	14802	10092	7685	3800	14060	8420	19944	2750	5582	6131	19980	21499	5355	5628	7753	11522	16251	5705	8680	2831	7977	8444	4615	3315	5546	8314	7287	3505	9901	5854	4611	12639	7322	7962	5923	7424	5635	4541	12972	4417	4543	5383	6006	3669	4928	9876	4852	4681	10645	4083	6320	8104	14723	2628	6992	19274	4167	1967	3544	5558	4074	2415
"ASV_9"	2649	3041	7658	3555	10726	17339	11178	222	3341	6491	959	3108	12681	2627	10779	6980	43178	384	12968	3633	1331	5287	5503	2955	8762	16960	17577	444	2578	5167	2657	6201	6446	3322	8108	18227	8501	826	8194	5830	2036	3260	5719	2765	24830	9447	13559	592	6199	7308	3174	3728	9471	3547	11197	10864	9245	255	2186	6048	144	9474
"ASV_10"	2207	2359	5378	3757	10895	22161	7525	256	4472	8354	957	2825	10181	2095	11743	6140	22747	366	13203	5753	776	4093	4652	1525	6713	6990	9230	342	2025	6258	1564	4298	4650	2594	7143	14814	11186	982	4493	5476	1684	3760	3673	3522	5860	7444	9785	556	7574	6249	2463	4556	7412	3768	8615	8949	6882	277	2579	5988	85	6696
