treatment;replicate;plate_number_filename;position_on_plate;thallus_area;rhizoid_area;;;
control;1;10;top_left;1.895;2.635;;;
control;2;10;top_right;1.778;2.807;;;
control;3;10;bottom_left;2.527;2.097;;;
control;4;10;bottom_right;2.271;2.713;;;
control;5;11;top_left;1.222;2.176;;;
control;6;11;top_right;1.807;2.178;;;
control;7;11;bottom_left;1.045;1.412;;;
control;8;11;bottom_right;1.432;1.588;;;
control;9;15;top_left;2.771;3.75;;;
control;10;15;top_right;1.256;2.363;;;
control;11;15;bottom_left;2.591;3.76;;;
control;12;15;bottom_right;1.293;1.434;;;
100 uM sorbitol;1;7;top_left;0.45;0.842;;;
100 uM sorbitol;2;7;top_right;0.225;0.417;;;
100 uM sorbitol;3;7;bottom_left;0.37;0.308;;;
100 uM sorbitol;4;7;bottom_right;0.589;1.43;;;
100 uM sorbitol;5;8;top_left;0.348;0.714;;;
100 uM sorbitol;6;8;top_right;0.488;1.013;;;
100 uM sorbitol;7;8;bottom_left;0.253;0.609;;;
100 uM sorbitol;8;8;bottom_right;0.217;0.81;;;
100 uM sorbitol;9;9;top_left;0.707;1.163;;;
100 uM sorbitol;10;9;top_right;0.325;0.952;;;
100 uM sorbitol;11;9;bottom_left;0.294;0.754;;;
100 uM sorbitol;12;9;bottom_right;0.337;1.233;;;
150 uM sorbitol;1;1;top_left;0.15;0.366;;;
150 uM sorbitol;2;1;top_right;0.039;0.098;;;
150 uM sorbitol;3;1;bottom_left;0.138;0.486;;;
150 uM sorbitol;4;1;bottom_right;0.123;0.72;;;
150 uM sorbitol;5;2;top_left;0.131;0.58;;;
150 uM sorbitol;6;2;top_right;0.247;0.978;;;
150 uM sorbitol;7;2;bottom_left;0.076;0.412;;;
150 uM sorbitol;8;2;bottom_right;0.078;0.308;;;
150 uM sorbitol;9;3;top_left;0.106;0.362;;;
150 uM sorbitol;10;3;top_right;0.07;0.307;;;
150 uM sorbitol;11;3;bottom_left;0.223;0.601;;;
150 uM sorbitol;12;3;bottom_right;0.114;0.575;;;
